Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
West Coast,0,62,128,576.0,227.0,374.0,950.0,35.0,42.0,112.0,187.0,137.0,174.0,118.0,200.0,58.0,68.0,6.0,389.0,555.0,26.0,30.0,123.0,18.0,26.0,1797.0,https://afltables.com/afl/stats/games/2025/011820250525.html,2025
Melbourne,1,131,78,641.0,238.0,498.0,1139.0,50.0,40.0,123.0,260.0,108.0,172.0,128.0,202.0,58.0,50.0,12.0,444.0,673.0,28.0,39.0,117.0,25.0,33.0,1801.0,https://afltables.com/afl/stats/games/2025/111620250525.html,2025
Sydney,0,78,131,604.0,227.0,468.0,1072.0,43.0,29.0,138.0,253.0,120.0,152.0,127.0,215.0,50.0,58.0,6.0,417.0,614.0,29.0,30.0,123.0,20.0,30.0,1799.0,https://afltables.com/afl/stats/games/2025/111620250525.html,2025
St Kilda,1,61,80,658.0,297.0,487.0,1145.0,28.0,34.0,117.0,216.0,120.0,147.0,116.0,150.0,51.0,42.0,7.0,381.0,748.0,20.0,40.0,146.0,22.0,23.0,1801.0,https://afltables.com/afl/stats/games/2025/152020250525.html,2025
Gold Coast,0,80,61,641.0,291.0,476.0,1117.0,32.0,29.0,138.0,216.0,111.0,159.0,118.0,144.0,42.0,51.0,11.0,375.0,719.0,19.0,44.0,139.0,23.0,25.0,1800.0,https://afltables.com/afl/stats/games/2025/152020250525.html,2025
Brisbane Lions,1,90,72,693.0,349.0,461.0,1154.0,37.0,30.0,113.0,161.0,112.0,166.0,99.0,152.0,48.0,45.0,12.0,397.0,752.0,33.0,43.0,136.0,15.0,31.0,1799.0,https://afltables.com/afl/stats/games/2025/051920250529.html,2025
Essendon,0,72,90,630.0,290.0,484.0,1114.0,35.0,24.0,127.0,157.0,128.0,146.0,105.0,154.0,45.0,48.0,6.0,401.0,712.0,33.0,41.0,131.0,15.0,29.0,1798.0,https://afltables.com/afl/stats/games/2025/051920250529.html,2025
Collingwood,1,107,56,617.0,295.0,434.0,1051.0,40.0,30.0,116.0,202.0,99.0,133.0,100.0,174.0,58.0,59.0,12.0,333.0,672.0,15.0,46.0,95.0,18.0,30.0,1801.0,https://afltables.com/afl/stats/games/2025/041020250530.html,2025
Hawthorn,0,56,107,613.0,284.0,427.0,1040.0,32.0,27.0,121.0,158.0,90.0,134.0,110.0,180.0,59.0,58.0,6.0,345.0,654.0,21.0,38.0,94.0,15.0,24.0,1798.0,https://afltables.com/afl/stats/games/2025/041020250530.html,2025
Gold Coast,1,64,75,565.0,167.0,476.0,1041.0,29.0,29.0,160.0,252.0,141.0,165.0,131.0,179.0,76.0,68.0,9.0,446.0,559.0,18.0,23.0,167.0,15.0,16.0,1798.0,https://afltables.com/afl/stats/games/2025/082020250531.html,2025
Fremantle,0,75,64,572.0,163.0,457.0,1029.0,31.0,28.0,155.0,255.0,135.0,174.0,124.0,172.0,68.0,76.0,9.0,439.0,554.0,18.0,19.0,157.0,15.0,20.0,1801.0,https://afltables.com/afl/stats/games/2025/082020250531.html,2025
Greater Western Sydney,1,80,77,638.0,294.0,466.0,1104.0,34.0,33.0,116.0,169.0,138.0,161.0,100.0,156.0,23.0,34.0,9.0,389.0,668.0,40.0,28.0,149.0,24.0,22.0,1801.0,https://afltables.com/afl/stats/games/2025/142120250531.html,2025
Richmond,0,77,80,643.0,273.0,446.0,1089.0,32.0,42.0,118.0,149.0,126.0,172.0,113.0,141.0,34.0,23.0,9.0,418.0,625.0,41.0,29.0,148.0,18.0,20.0,1799.0,https://afltables.com/afl/stats/games/2025/142120250531.html,2025
Sydney,1,41,131,635.0,205.0,357.0,992.0,31.0,27.0,125.0,250.0,137.0,160.0,152.0,236.0,70.0,68.0,6.0,466.0,492.0,23.0,15.0,159.0,20.0,19.0,1797.0,https://afltables.com/afl/stats/games/2025/011620250531.html,2025
Adelaide,0,131,41,661.0,227.0,357.0,1018.0,47.0,21.0,130.0,251.0,127.0,185.0,139.0,220.0,68.0,70.0,12.0,455.0,528.0,28.0,15.0,162.0,16.0,29.0,1800.0,https://afltables.com/afl/stats/games/2025/011620250531.html,2025
Melbourne,1,63,91,656.0,340.0,332.0,988.0,28.0,49.0,89.0,164.0,100.0,154.0,94.0,147.0,68.0,64.0,6.0,350.0,603.0,40.0,38.0,92.0,25.0,20.0,1800.0,https://afltables.com/afl/stats/games/2025/111520250601.html,2025
St Kilda,0,91,63,718.0,380.0,361.0,1079.0,35.0,35.0,82.0,160.0,125.0,137.0,92.0,156.0,64.0,68.0,12.0,349.0,675.0,38.0,34.0,82.0,26.0,28.0,1799.0,https://afltables.com/afl/stats/games/2025/111520250601.html,2025
West Coast,1,73,116,606.0,267.0,421.0,1027.0,39.0,28.0,119.0,161.0,115.0,145.0,112.0,164.0,42.0,45.0,6.0,351.0,650.0,11.0,35.0,147.0,43.0,27.0,1802.0,https://afltables.com/afl/stats/games/2025/091820250601.html,2025
Geelong,0,116,73,648.0,300.0,383.0,1031.0,45.0,35.0,118.0,181.0,104.0,161.0,110.0,157.0,45.0,42.0,12.0,360.0,649.0,16.0,43.0,132.0,47.0,30.0,1802.0,https://afltables.com/afl/stats/games/2025/091820250601.html,2025
Western Bulldogs,1,59,81,589.0,225.0,481.0,1070.0,28.0,31.0,123.0,234.0,127.0,144.0,114.0,157.0,41.0,37.0,6.0,421.0,624.0,39.0,33.0,146.0,17.0,21.0,1799.0,https://afltables.com/afl/stats/games/2025/071020250605.html,2025
Hawthorn,0,81,59,620.0,243.0,476.0,1096.0,32.0,29.0,138.0,240.0,116.0,159.0,108.0,164.0,37.0,41.0,12.0,425.0,648.0,42.0,36.0,160.0,22.0,21.0,1799.0,https://afltables.com/afl/stats/games/2025/071020250605.html,2025
Adelaide,1,68,63,649.0,197.0,328.0,977.0,28.0,31.0,165.0,241.0,141.0,154.0,127.0,191.0,72.0,66.0,9.0,445.0,505.0,38.0,19.0,199.0,9.0,18.0,1801.0,https://afltables.com/afl/stats/games/2025/011920250606.html,2025
Brisbane Lions,0,63,68,677.0,208.0,374.0,1051.0,26.0,38.0,156.0,215.0,126.0,167.0,146.0,187.0,66.0,72.0,9.0,458.0,581.0,31.0,20.0,176.0,6.0,18.0,1800.0,https://afltables.com/afl/stats/games/2025/011920250606.html,2025
Richmond,1,36,80,616.0,291.0,385.0,1001.0,19.0,38.0,108.0,193.0,131.0,137.0,99.0,150.0,61.0,62.0,6.0,341.0,622.0,23.0,22.0,97.0,38.0,12.0,1801.0,https://afltables.com/afl/stats/games/2025/141620250607.html,2025
Sydney,0,80,36,689.0,336.0,395.0,1084.0,26.0,40.0,132.0,209.0,112.0,160.0,108.0,159.0,62.0,61.0,12.0,355.0,695.0,22.0,29.0,104.0,37.0,18.0,1799.0,https://afltables.com/afl/stats/games/2025/141620250607.html,2025
Geelong,1,61,37,650.0,265.0,376.0,1026.0,23.0,21.0,188.0,228.0,133.0,161.0,150.0,200.0,69.0,66.0,12.0,421.0,589.0,25.0,24.0,146.0,11.0,17.0,1801.0,https://afltables.com/afl/stats/games/2025/092020250607.html,2025
Gold Coast,0,37,61,583.0,215.0,359.0,942.0,19.0,21.0,205.0,213.0,134.0,157.0,150.0,196.0,66.0,69.0,6.0,398.0,521.0,23.0,18.0,154.0,13.0,13.0,1797.0,https://afltables.com/afl/stats/games/2025/092020250607.html,2025
Greater Western Sydney,1,50,66,620.0,266.0,413.0,1033.0,23.0,28.0,104.0,214.0,125.0,149.0,135.0,199.0,74.0,61.0,6.0,423.0,584.0,28.0,27.0,137.0,17.0,12.0,1802.0,https://afltables.com/afl/stats/games/2025/132120250607.html,2025
Port Adelaide,0,66,50,622.0,268.0,409.0,1031.0,25.0,32.0,109.0,203.0,124.0,151.0,135.0,197.0,61.0,74.0,12.0,414.0,592.0,26.0,30.0,124.0,16.0,12.0,1802.0,https://afltables.com/afl/stats/games/2025/132120250607.html,2025
North Melbourne,1,62,52,577.0,204.0,489.0,1066.0,24.0,32.0,103.0,213.0,143.0,145.0,108.0,185.0,58.0,68.0,12.0,429.0,616.0,33.0,26.0,134.0,20.0,16.0,1801.0,https://afltables.com/afl/stats/games/2025/121820250608.html,2025
West Coast,0,52,62,560.0,201.0,441.0,1001.0,21.0,40.0,95.0,228.0,118.0,167.0,90.0,181.0,68.0,58.0,6.0,426.0,566.0,33.0,31.0,142.0,16.0,14.0,1801.0,https://afltables.com/afl/stats/games/2025/121820250608.html,2025
Carlton,1,78,70,666.0,295.0,438.0,1104.0,33.0,28.0,106.0,224.0,132.0,167.0,116.0,206.0,75.0,75.0,11.0,454.0,630.0,39.0,39.0,137.0,17.0,26.0,1802.0,https://afltables.com/afl/stats/games/2025/030520250608.html,2025
Essendon,0,70,78,615.0,245.0,480.0,1095.0,33.0,20.0,101.0,229.0,132.0,166.0,115.0,214.0,75.0,75.0,7.0,443.0,621.0,30.0,36.0,145.0,13.0,25.0,1801.0,https://afltables.com/afl/stats/games/2025/030520250608.html,2025
Melbourne,1,71,72,615.0,262.0,406.0,1021.0,31.0,28.0,115.0,178.0,110.0,153.0,107.0,191.0,69.0,78.0,9.0,403.0,598.0,39.0,21.0,148.0,10.0,18.0,1799.0,https://afltables.com/afl/stats/games/2025/041120250609.html,2025
Collingwood,0,72,71,648.0,305.0,413.0,1061.0,32.0,23.0,89.0,179.0,121.0,144.0,97.0,178.0,78.0,69.0,9.0,374.0,665.0,33.0,24.0,158.0,17.0,21.0,1800.0,https://afltables.com/afl/stats/games/2025/041120250609.html,2025
St Kilda,1,60,132,661.0,309.0,429.0,1090.0,36.0,36.0,117.0,180.0,126.0,150.0,118.0,168.0,54.0,60.0,6.0,349.0,714.0,36.0,39.0,127.0,36.0,28.0,1798.0,https://afltables.com/afl/stats/games/2025/071520250612.html,2025
Western Bulldogs,0,132,60,698.0,336.0,459.0,1157.0,48.0,36.0,123.0,177.0,111.0,177.0,119.0,165.0,60.0,54.0,12.0,368.0,765.0,45.0,48.0,143.0,36.0,35.0,1800.0,https://afltables.com/afl/stats/games/2025/071520250612.html,2025
Hawthorn,1,47,44,657.0,194.0,350.0,1007.0,17.0,36.0,134.0,232.0,152.0,163.0,122.0,214.0,76.0,74.0,10.0,447.0,496.0,25.0,9.0,176.0,11.0,13.0,1802.0,https://afltables.com/afl/stats/games/2025/011020250613.html,2025
Adelaide,0,44,47,675.0,205.0,334.0,1009.0,16.0,39.0,142.0,227.0,145.0,170.0,127.0,233.0,74.0,76.0,8.0,459.0,485.0,35.0,9.0,169.0,13.0,11.0,1801.0,https://afltables.com/afl/stats/games/2025/011020250613.html,2025
Brisbane Lions,1,96,107,638.0,316.0,401.0,1039.0,43.0,41.0,112.0,98.0,111.0,163.0,99.0,124.0,47.0,40.0,6.0,347.0,668.0,33.0,48.0,115.0,29.0,33.0,1801.0,https://afltables.com/afl/stats/games/2025/192120250614.html,2025
Greater Western Sydney,0,107,96,640.0,302.0,421.0,1061.0,47.0,28.0,98.0,112.0,117.0,161.0,93.0,140.0,40.0,47.0,12.0,340.0,676.0,33.0,51.0,113.0,28.0,39.0,1802.0,https://afltables.com/afl/stats/games/2025/192120250614.html,2025
Essendon,1,56,151,655.0,337.0,545.0,1200.0,39.0,29.0,120.0,151.0,108.0,139.0,103.0,189.0,42.0,45.0,6.0,361.0,824.0,18.0,35.0,124.0,34.0,33.0,1799.0,https://afltables.com/afl/stats/games/2025/050920250614.html,2025
Geelong,0,151,56,707.0,380.0,481.0,1188.0,54.0,34.0,111.0,152.0,99.0,164.0,101.0,168.0,45.0,42.0,12.0,356.0,820.0,21.0,49.0,134.0,38.0,48.0,1800.0,https://afltables.com/afl/stats/games/2025/050920250614.html,2025
North Melbourne,1,67,73,640.0,217.0,454.0,1094.0,30.0,27.0,114.0,220.0,123.0,168.0,119.0,213.0,71.0,73.0,7.0,445.0,633.0,21.0,20.0,183.0,20.0,21.0,1799.0,https://afltables.com/afl/stats/games/2025/081220250614.html,2025
Fremantle,0,73,67,617.0,218.0,452.0,1069.0,30.0,33.0,117.0,209.0,135.0,156.0,115.0,204.0,73.0,71.0,11.0,443.0,615.0,30.0,22.0,195.0,25.0,18.0,1799.0,https://afltables.com/afl/stats/games/2025/081220250614.html,2025
Port Adelaide,1,93,68,657.0,335.0,437.0,1094.0,37.0,32.0,108.0,183.0,124.0,150.0,101.0,155.0,47.0,55.0,12.0,363.0,702.0,47.0,42.0,113.0,23.0,29.0,1799.0,https://afltables.com/afl/stats/games/2025/111320250615.html,2025
Melbourne,0,68,93,630.0,301.0,436.0,1066.0,32.0,37.0,111.0,183.0,113.0,156.0,106.0,157.0,55.0,47.0,6.0,390.0,660.0,52.0,36.0,100.0,16.0,25.0,1800.0,https://afltables.com/afl/stats/games/2025/111320250615.html,2025
West Coast,1,52,86,638.0,260.0,409.0,1047.0,26.0,34.0,76.0,140.0,132.0,152.0,103.0,176.0,56.0,55.0,6.0,393.0,626.0,27.0,35.0,172.0,15.0,24.0,1801.0,https://afltables.com/afl/stats/games/2025/031820250615.html,2025
Carlton,0,86,52,685.0,289.0,440.0,1125.0,31.0,38.0,92.0,157.0,123.0,166.0,101.0,184.0,55.0,56.0,12.0,405.0,685.0,30.0,40.0,170.0,15.0,27.0,1799.0,https://afltables.com/afl/stats/games/2025/031820250615.html,2025
Fremantle,1,104,63,640.0,283.0,509.0,1149.0,41.0,25.0,130.0,150.0,90.0,148.0,114.0,145.0,62.0,55.0,12.0,390.0,742.0,32.0,25.0,121.0,15.0,27.0,1798.0,https://afltables.com/afl/stats/games/2025/050820250619.html,2025
Essendon,0,63,104,605.0,269.0,517.0,1122.0,34.0,26.0,101.0,153.0,105.0,125.0,96.0,146.0,55.0,62.0,6.0,378.0,731.0,31.0,32.0,128.0,18.0,24.0,1799.0,https://afltables.com/afl/stats/games/2025/050820250619.html,2025
Geelong,1,51,92,642.0,272.0,364.0,1006.0,26.0,38.0,111.0,161.0,128.0,160.0,109.0,201.0,63.0,63.0,6.0,391.0,570.0,36.0,42.0,132.0,18.0,22.0,1801.0,https://afltables.com/afl/stats/games/2025/091920250620.html,2025
Brisbane Lions,0,92,51,675.0,301.0,395.0,1070.0,34.0,31.0,114.0,172.0,130.0,167.0,110.0,201.0,63.0,63.0,12.0,395.0,636.0,36.0,45.0,135.0,15.0,26.0,1800.0,https://afltables.com/afl/stats/games/2025/091920250620.html,2025
Carlton,1,73,84,651.0,313.0,492.0,1143.0,33.0,32.0,113.0,211.0,99.0,154.0,110.0,159.0,62.0,61.0,7.0,399.0,729.0,31.0,34.0,142.0,13.0,22.0,1799.0,https://afltables.com/afl/stats/games/2025/031220250621.html,2025
North Melbourne,0,84,73,636.0,287.0,501.0,1137.0,36.0,25.0,103.0,203.0,117.0,140.0,112.0,153.0,61.0,62.0,11.0,390.0,720.0,26.0,32.0,143.0,17.0,26.0,1798.0,https://afltables.com/afl/stats/games/2025/031220250621.html,2025
Port Adelaide,1,52,71,605.0,289.0,407.0,1012.0,23.0,37.0,95.0,153.0,109.0,121.0,98.0,141.0,39.0,39.0,8.0,329.0,641.0,23.0,56.0,108.0,16.0,16.0,1798.0,https://afltables.com/afl/stats/games/2025/131620250621.html,2025
Sydney,0,71,52,619.0,287.0,403.0,1022.0,25.0,44.0,100.0,150.0,95.0,137.0,103.0,126.0,39.0,39.0,10.0,352.0,640.0,25.0,55.0,114.0,17.0,17.0,1800.0,https://afltables.com/afl/stats/games/2025/131620250621.html,2025
Collingwood,1,108,74,624.0,296.0,346.0,970.0,43.0,32.0,104.0,176.0,118.0,164.0,106.0,176.0,56.0,52.0,10.0,342.0,579.0,30.0,46.0,108.0,20.0,29.0,1801.0,https://afltables.com/afl/stats/games/2025/041520250621.html,2025
St Kilda,0,74,108,621.0,268.0,362.0,983.0,38.0,28.0,106.0,157.0,116.0,160.0,113.0,193.0,52.0,56.0,8.0,363.0,573.0,24.0,38.0,120.0,16.0,25.0,1801.0,https://afltables.com/afl/stats/games/2025/041520250621.html,2025
Greater Western Sydney,1,106,99,569.0,204.0,513.0,1082.0,46.0,35.0,124.0,242.0,134.0,156.0,116.0,171.0,54.0,63.0,8.0,423.0,616.0,28.0,23.0,134.0,31.0,30.0,1803.0,https://afltables.com/afl/stats/games/2025/202120250622.html,2025
Gold Coast,0,99,106,571.0,183.0,567.0,1138.0,44.0,40.0,146.0,217.0,109.0,180.0,121.0,156.0,63.0,54.0,10.0,444.0,653.0,29.0,28.0,124.0,26.0,30.0,1802.0,https://afltables.com/afl/stats/games/2025/202120250622.html,2025
Western Bulldogs,1,135,56,650.0,330.0,491.0,1141.0,50.0,26.0,96.0,136.0,97.0,156.0,104.0,180.0,68.0,67.0,12.0,367.0,754.0,28.0,48.0,111.0,20.0,41.0,1798.0,https://afltables.com/afl/stats/games/2025/071420250622.html,2025
Richmond,0,56,135,583.0,276.0,451.0,1034.0,37.0,25.0,96.0,152.0,104.0,135.0,94.0,192.0,67.0,68.0,6.0,359.0,656.0,29.0,45.0,117.0,22.0,28.0,1802.0,https://afltables.com/afl/stats/games/2025/071420250622.html,2025
Port Adelaide,1,110,60,585.0,267.0,402.0,987.0,40.0,40.0,114.0,142.0,107.0,153.0,95.0,158.0,70.0,77.0,12.0,329.0,621.0,25.0,43.0,129.0,27.0,27.0,1799.0,https://afltables.com/afl/stats/games/2025/031320250626.html,2025
Carlton,0,60,110,552.0,222.0,381.0,933.0,32.0,38.0,93.0,158.0,109.0,141.0,100.0,157.0,77.0,70.0,6.0,340.0,558.0,20.0,38.0,129.0,18.0,21.0,1799.0,https://afltables.com/afl/stats/games/2025/031320250626.html,2025
Sydney,1,96,105,607.0,266.0,439.0,1046.0,44.0,33.0,128.0,207.0,95.0,146.0,111.0,163.0,60.0,54.0,8.0,382.0,633.0,27.0,44.0,122.0,24.0,30.0,1801.0,https://afltables.com/afl/stats/games/2025/071620250627.html,2025
Western Bulldogs,0,105,96,581.0,259.0,446.0,1027.0,46.0,30.0,100.0,180.0,100.0,142.0,108.0,161.0,54.0,60.0,10.0,359.0,633.0,24.0,49.0,124.0,18.0,33.0,1799.0,https://afltables.com/afl/stats/games/2025/071620250627.html,2025
Gold Coast,1,104,85,611.0,298.0,402.0,1013.0,42.0,41.0,117.0,192.0,102.0,149.0,103.0,160.0,59.0,58.0,12.0,391.0,606.0,37.0,50.0,126.0,8.0,30.0,1801.0,https://afltables.com/afl/stats/games/2025/112020250628.html,2025
Melbourne,0,85,104,598.0,272.0,435.0,1033.0,39.0,40.0,114.0,189.0,105.0,142.0,98.0,161.0,58.0,59.0,6.0,389.0,624.0,26.0,43.0,105.0,7.0,27.0,1800.0,https://afltables.com/afl/stats/games/2025/112020250628.html,2025
Hawthorn,1,150,65,591.0,235.0,447.0,1038.0,55.0,35.0,125.0,152.0,102.0,166.0,118.0,155.0,68.0,64.0,11.0,380.0,627.0,32.0,45.0,107.0,25.0,41.0,1799.0,https://afltables.com/afl/stats/games/2025/101220250628.html,2025
North Melbourne,0,65,150,555.0,218.0,441.0,996.0,41.0,34.0,115.0,136.0,111.0,143.0,104.0,160.0,64.0,68.0,7.0,355.0,606.0,25.0,36.0,121.0,26.0,31.0,1800.0,https://afltables.com/afl/stats/games/2025/101220250628.html,2025
Collingwood,1,88,59,611.0,280.0,463.0,1074.0,34.0,31.0,129.0,211.0,124.0,160.0,120.0,189.0,52.0,53.0,10.0,391.0,664.0,40.0,33.0,120.0,12.0,19.0,1802.0,https://afltables.com/afl/stats/games/2025/041820250628.html,2025
West Coast,0,59,88,592.0,269.0,497.0,1089.0,29.0,32.0,129.0,200.0,122.0,155.0,108.0,189.0,53.0,52.0,8.0,374.0,698.0,32.0,27.0,108.0,12.0,17.0,1802.0,https://afltables.com/afl/stats/games/2025/041820250628.html,2025
Richmond,1,54,122,615.0,263.0,396.0,1011.0,34.0,26.0,115.0,158.0,114.0,139.0,119.0,181.0,60.0,60.0,6.0,370.0,603.0,18.0,31.0,128.0,7.0,28.0,1799.0,https://afltables.com/afl/stats/games/2025/011420250629.html,2025
Adelaide,0,122,54,681.0,322.0,420.0,1101.0,44.0,34.0,128.0,163.0,105.0,158.0,112.0,161.0,60.0,60.0,12.0,398.0,678.0,27.0,41.0,118.0,11.0,38.0,1797.0,https://afltables.com/afl/stats/games/2025/011420250629.html,2025
Fremantle,1,81,69,599.0,263.0,375.0,974.0,31.0,45.0,140.0,173.0,98.0,139.0,108.0,138.0,59.0,55.0,11.0,359.0,584.0,37.0,37.0,127.0,24.0,23.0,1802.0,https://afltables.com/afl/stats/games/2025/081520250629.html,2025
St Kilda,0,69,81,619.0,268.0,393.0,1012.0,29.0,45.0,109.0,175.0,103.0,131.0,123.0,159.0,55.0,59.0,7.0,367.0,613.0,35.0,29.0,140.0,30.0,22.0,1802.0,https://afltables.com/afl/stats/games/2025/081520250629.html,2025
North Melbourne,1,85,134,589.0,250.0,425.0,1014.0,46.0,28.0,109.0,197.0,115.0,151.0,117.0,170.0,58.0,59.0,6.0,382.0,605.0,39.0,47.0,155.0,19.0,40.0,1800.0,https://afltables.com/afl/stats/games/2025/071220250703.html,2025
Western Bulldogs,0,134,85,599.0,257.0,442.0,1041.0,53.0,35.0,104.0,205.0,98.0,173.0,111.0,157.0,59.0,58.0,12.0,383.0,643.0,48.0,52.0,133.0,14.0,47.0,1802.0,https://afltables.com/afl/stats/games/2025/071220250703.html,2025
Carlton,1,59,115,642.0,289.0,448.0,1090.0,33.0,35.0,126.0,152.0,125.0,158.0,117.0,150.0,36.0,39.0,6.0,369.0,690.0,36.0,42.0,131.0,18.0,27.0,1800.0,https://afltables.com/afl/stats/games/2025/030420250704.html,2025
Collingwood,0,115,59,678.0,311.0,452.0,1130.0,42.0,37.0,117.0,166.0,124.0,169.0,108.0,144.0,39.0,36.0,12.0,387.0,708.0,51.0,45.0,130.0,18.0,33.0,1799.0,https://afltables.com/afl/stats/games/2025/030420250704.html,2025
West Coast,1,52,111,655.0,263.0,396.0,1051.0,32.0,23.0,111.0,164.0,141.0,162.0,101.0,191.0,46.0,53.0,6.0,400.0,604.0,20.0,24.0,146.0,28.0,20.0,1799.0,https://afltables.com/afl/stats/games/2025/182120250704.html,2025
Greater Western Sydney,0,111,52,692.0,280.0,432.0,1124.0,40.0,34.0,117.0,160.0,129.0,183.0,109.0,178.0,53.0,46.0,12.0,434.0,647.0,22.0,30.0,139.0,38.0,28.0,1798.0,https://afltables.com/afl/stats/games/2025/182120250704.html,2025
Essendon,1,74,115,579.0,233.0,470.0,1049.0,40.0,23.0,150.0,212.0,112.0,163.0,108.0,171.0,74.0,70.0,7.0,411.0,636.0,24.0,28.0,125.0,14.0,23.0,1799.0,https://afltables.com/afl/stats/games/2025/052020250705.html,2025
Gold Coast,0,115,74,588.0,244.0,487.0,1075.0,47.0,22.0,135.0,223.0,122.0,161.0,111.0,183.0,70.0,74.0,11.0,414.0,666.0,30.0,32.0,130.0,16.0,31.0,1799.0,https://afltables.com/afl/stats/games/2025/052020250705.html,2025
Geelong,1,124,52,676.0,322.0,457.0,1133.0,43.0,42.0,123.0,178.0,122.0,177.0,117.0,140.0,46.0,41.0,12.0,367.0,740.0,30.0,51.0,90.0,41.0,36.0,1801.0,https://afltables.com/afl/stats/games/2025/091420250705.html,2025
Richmond,0,52,124,644.0,299.0,461.0,1105.0,32.0,36.0,123.0,173.0,130.0,156.0,108.0,145.0,41.0,46.0,6.0,350.0,727.0,24.0,42.0,105.0,31.0,27.0,1801.0,https://afltables.com/afl/stats/games/2025/091420250705.html,2025
Brisbane Lions,1,120,92,614.0,281.0,410.0,1024.0,50.0,32.0,111.0,121.0,115.0,165.0,112.0,160.0,76.0,74.0,11.0,339.0,677.0,13.0,44.0,121.0,7.0,36.0,1800.0,https://afltables.com/afl/stats/games/2025/131920250705.html,2025
Port Adelaide,0,92,120,595.0,271.0,436.0,1031.0,46.0,28.0,123.0,137.0,107.0,165.0,110.0,185.0,74.0,76.0,7.0,342.0,679.0,14.0,43.0,128.0,8.0,33.0,1798.0,https://afltables.com/afl/stats/games/2025/131920250705.html,2025
St Kilda,1,74,94,631.0,265.0,440.0,1071.0,34.0,38.0,124.0,223.0,99.0,148.0,119.0,163.0,54.0,60.0,10.0,390.0,657.0,27.0,32.0,125.0,31.0,18.0,1798.0,https://afltables.com/afl/stats/games/2025/101520250705.html,2025
Hawthorn,0,94,74,635.0,287.0,418.0,1053.0,38.0,34.0,158.0,200.0,114.0,137.0,115.0,155.0,60.0,54.0,8.0,372.0,648.0,30.0,37.0,121.0,23.0,21.0,1800.0,https://afltables.com/afl/stats/games/2025/101520250705.html,2025
Sydney,1,94,83,634.0,291.0,361.0,995.0,40.0,31.0,109.0,215.0,112.0,147.0,114.0,127.0,62.0,58.0,10.0,373.0,611.0,21.0,35.0,119.0,26.0,28.0,1799.0,https://afltables.com/afl/stats/games/2025/081620250706.html,2025
Fremantle,0,83,94,581.0,267.0,392.0,973.0,38.0,32.0,107.0,187.0,107.0,150.0,105.0,140.0,58.0,62.0,8.0,377.0,601.0,21.0,34.0,115.0,25.0,26.0,1801.0,https://afltables.com/afl/stats/games/2025/081620250706.html,2025
Adelaide,1,90,77,620.0,274.0,422.0,1042.0,37.0,35.0,110.0,159.0,102.0,152.0,93.0,187.0,47.0,49.0,12.0,391.0,634.0,31.0,42.0,148.0,10.0,27.0,1800.0,https://afltables.com/afl/stats/games/2025/011120250706.html,2025
Melbourne,0,77,90,643.0,302.0,466.0,1109.0,35.0,34.0,97.0,159.0,114.0,139.0,87.0,179.0,49.0,47.0,6.0,395.0,695.0,29.0,33.0,137.0,11.0,21.0,1800.0,https://afltables.com/afl/stats/games/2025/011120250706.html,2025
Carlton,1,66,103,621.0,268.0,450.0,1071.0,33.0,37.0,130.0,187.0,127.0,151.0,103.0,177.0,65.0,70.0,6.0,401.0,652.0,28.0,50.0,130.0,5.0,24.0,1799.0,https://afltables.com/afl/stats/games/2025/031920250710.html,2025
Brisbane Lions,0,103,66,672.0,329.0,438.0,1110.0,39.0,38.0,125.0,197.0,116.0,167.0,95.0,168.0,70.0,65.0,12.0,370.0,716.0,29.0,46.0,134.0,4.0,27.0,1800.0,https://afltables.com/afl/stats/games/2025/031920250710.html,2025
Gold Coast,1,69,63,560.0,193.0,448.0,1008.0,28.0,33.0,129.0,208.0,121.0,139.0,125.0,186.0,76.0,80.0,11.0,414.0,566.0,24.0,35.0,155.0,15.0,20.0,1802.0,https://afltables.com/afl/stats/games/2025/042020250711.html,2025
Collingwood,0,63,69,544.0,185.0,455.0,999.0,26.0,39.0,129.0,218.0,110.0,149.0,112.0,201.0,80.0,76.0,7.0,411.0,559.0,27.0,40.0,139.0,15.0,22.0,1803.0,https://afltables.com/afl/stats/games/2025/042020250711.html,2025
Western Bulldogs,1,98,109,662.0,281.0,389.0,1051.0,46.0,29.0,110.0,163.0,111.0,162.0,121.0,173.0,61.0,68.0,8.0,415.0,613.0,33.0,35.0,138.0,19.0,35.0,1801.0,https://afltables.com/afl/stats/games/2025/010720250712.html,2025
Adelaide,0,109,98,682.0,298.0,361.0,1043.0,47.0,34.0,121.0,173.0,114.0,159.0,113.0,160.0,68.0,61.0,10.0,404.0,611.0,36.0,43.0,141.0,17.0,40.0,1800.0,https://afltables.com/afl/stats/games/2025/010720250712.html,2025
Greater Western Sydney,1,111,85,658.0,273.0,368.0,1026.0,47.0,25.0,100.0,148.0,133.0,172.0,117.0,210.0,72.0,75.0,12.0,426.0,591.0,37.0,33.0,148.0,31.0,27.0,1800.0,https://afltables.com/afl/stats/games/2025/092120250712.html,2025
