Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
Adelaide,0,99,103,643.0,262.0,468.0,1111.0,45.0,31.0,94.0,137.0,137.0,171.0,119.0,219.0,76.0,74.0,9.0,450.0,646.0,28.0,28.0,156.0,21.0,33.0,1801.0,https://afltables.com/afl/stats/games/2022/010520220410.html,2022
Hawthorn,1,73,142,635.0,295.0,445.0,1080.0,42.0,36.0,83.0,135.0,79.0,136.0,98.0,202.0,77.0,78.0,6.0,371.0,707.0,27.0,42.0,139.0,18.0,28.0,1788.0,https://afltables.com/afl/stats/games/2022/101520220410.html,2022
St Kilda,0,142,73,694.0,323.0,464.0,1158.0,54.0,33.0,91.0,147.0,92.0,137.0,94.0,209.0,79.0,75.0,12.0,391.0,757.0,27.0,54.0,134.0,27.0,41.0,1799.0,https://afltables.com/afl/stats/games/2022/101520220410.html,2022
Gold Coast,1,92,62,665.0,259.0,406.0,1071.0,34.0,42.0,123.0,137.0,128.0,175.0,113.0,186.0,55.0,59.0,11.0,413.0,621.0,33.0,36.0,148.0,21.0,25.0,1800.0,https://afltables.com/afl/stats/games/2022/032020220410.html,2022
Carlton,0,62,92,682.0,281.0,425.0,1107.0,29.0,42.0,90.0,169.0,139.0,158.0,97.0,192.0,59.0,55.0,7.0,400.0,666.0,30.0,33.0,158.0,33.0,20.0,1800.0,https://afltables.com/afl/stats/games/2022/032020220410.html,2022
Brisbane Lions,1,98,91,656.0,270.0,455.0,1111.0,44.0,23.0,89.0,174.0,132.0,170.0,120.0,222.0,76.0,74.0,9.0,424.0,653.0,31.0,34.0,125.0,5.0,29.0,1799.0,https://afltables.com/afl/stats/games/2022/041920220414.html,2022
Collingwood,0,91,98,619.0,252.0,478.0,1097.0,43.0,22.0,103.0,180.0,123.0,178.0,117.0,210.0,74.0,76.0,9.0,407.0,661.0,26.0,29.0,136.0,7.0,25.0,1801.0,https://afltables.com/afl/stats/games/2022/041920220414.html,2022
North Melbourne,1,71,139,612.0,248.0,391.0,1003.0,43.0,23.0,117.0,161.0,121.0,157.0,116.0,173.0,78.0,72.0,6.0,396.0,599.0,28.0,34.0,128.0,11.0,26.0,1801.0,https://afltables.com/afl/stats/games/2022/071220220415.html,2022
Western Bulldogs,0,139,71,708.0,310.0,434.0,1142.0,53.0,31.0,99.0,160.0,110.0,179.0,118.0,181.0,72.0,78.0,12.0,432.0,709.0,32.0,41.0,139.0,10.0,34.0,1800.0,https://afltables.com/afl/stats/games/2022/071220220415.html,2022
West Coast,1,58,121,641.0,281.0,370.0,1011.0,36.0,21.0,84.0,165.0,113.0,123.0,89.0,164.0,58.0,59.0,6.0,370.0,627.0,21.0,27.0,128.0,8.0,20.0,1801.0,https://afltables.com/afl/stats/games/2022/161820220415.html,2022
